age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit,marital,education,default,day,duration,previous
41,unknown,1567,no,no,cellular,jul,2,-1,unknown,no,single,tertiary,no,1,291,0
34,blue-collar,855,yes,no,cellular,jul,1,-1,unknown,yes,single,secondary,no,16,578,0
37,services,4151,yes,yes,cellular,jul,4,-1,unknown,yes,married,secondary,no,30,543,0
29,services,1008,yes,no,unknown,may,9,-1,unknown,no,single,secondary,no,23,426,0
51,entrepreneur,726,yes,yes,cellular,apr,2,-1,unknown,no,married,primary,no,15,87,0
44,management,4119,yes,yes,telephone,nov,1,-1,unknown,yes,married,tertiary,no,21,1074,0
37,services,1,no,no,unknown,may,2,-1,unknown,no,married,secondary,no,15,395,0
49,services,2416,yes,no,cellular,apr,1,-1,unknown,yes,married,secondary,no,16,1366,0
29,blue-collar,162,yes,no,cellular,jul,3,-1,unknown,no,married,secondary,no,15,126,0
43,management,1336,yes,yes,cellular,may,2,309,failure,no,married,tertiary,no,27,82,1
57,entrepreneur,1153,yes,yes,unknown,jun,6,-1,unknown,no,married,primary,no,9,238,0
61,management,267,no,no,cellular,apr,1,-1,unknown,yes,married,tertiary,no,20,190,0
30,blue-collar,1131,yes,yes,cellular,nov,1,144,failure,no,married,secondary,no,18,189,5
46,management,624,no,no,cellular,sep,2,183,success,yes,divorced,tertiary,no,17,336,2
35,management,304,yes,no,cellular,nov,2,-1,unknown,no,single,tertiary,no,19,274,0
47,admin.,1358,yes,no,cellular,may,4,-1,unknown,no,married,secondary,no,14,80,0
53,services,36,yes,yes,unknown,jul,1,417,success,yes,divorced,secondary,no,2,25,1
30,admin.,8781,yes,no,cellular,nov,1,-1,unknown,yes,married,secondary,no,18,898,0
59,blue-collar,416,no,no,unknown,jun,3,-1,unknown,no,married,primary,no,16,92,0
33,admin.,867,yes,no,cellular,apr,1,-1,unknown,no,single,tertiary,no,14,247,0
43,services,774,no,no,cellular,jun,1,91,success,yes,married,secondary,no,24,482,2
26,blue-collar,409,yes,no,cellular,jul,2,-1,unknown,yes,single,primary,no,21,577,0
54,blue-collar,1895,yes,no,cellular,apr,1,-1,unknown,no,married,primary,no,17,345,0
37,technician,3943,no,no,cellular,apr,2,138,failure,yes,single,tertiary,no,6,1138,1
62,self-employed,3685,no,no,cellular,feb,3,-1,unknown,no,married,tertiary,no,3,181,0
60,admin.,7336,no,no,cellular,mar,1,-1,unknown,no,married,secondary,no,31,494,0
33,admin.,177,yes,no,cellular,may,1,-1,unknown,no,married,secondary,no,11,100,0
50,technician,797,yes,no,unknown,may,1,-1,unknown,no,married,secondary,no,6,354,0
52,technician,0,no,yes,cellular,aug,1,-1,unknown,no,married,tertiary,no,5,409,0
54,retired,2761,no,no,cellular,jul,1,-1,unknown,no,divorced,secondary,no,16,771,0
28,services,47,no,no,cellular,jul,2,-1,unknown,no,single,secondary,no,22,405,0
52,technician,425,yes,no,cellular,jan,2,254,failure,no,married,unknown,no,28,219,3
68,retired,4189,no,no,telephone,jul,2,-1,unknown,yes,divorced,secondary,no,14,897,0
45,technician,0,yes,no,cellular,dec,1,-1,unknown,yes,married,secondary,no,7,344,0
32,entrepreneur,1996,yes,no,cellular,nov,1,-1,unknown,no,married,secondary,no,18,271,0
47,technician,321,yes,yes,unknown,jul,1,-1,unknown,no,married,secondary,no,4,111,0
39,blue-collar,2303,yes,no,unknown,jun,3,-1,unknown,yes,married,primary,no,17,775,0
43,management,175,yes,no,cellular,apr,4,337,other,no,married,tertiary,no,17,129,1
23,student,556,yes,no,cellular,may,2,-1,unknown,no,single,secondary,no,15,170,0
45,admin.,0,yes,no,cellular,nov,5,-1,unknown,no,married,secondary,no,18,108,0
38,management,104,yes,no,cellular,may,3,-1,unknown,yes,single,tertiary,no,6,606,0
55,retired,2312,no,no,unknown,jun,1,-1,unknown,no,married,secondary,no,12,60,0
31,self-employed,94,no,no,cellular,aug,2,-1,unknown,yes,married,tertiary,no,22,579,0
40,technician,8379,no,no,unknown,jun,6,-1,unknown,no,married,secondary,no,12,52,0
48,services,-276,yes,yes,cellular,may,1,-1,unknown,yes,divorced,secondary,no,13,674,0
82,retired,211,no,no,telephone,apr,3,-1,unknown,no,married,unknown,no,22,195,0
49,technician,905,no,no,cellular,jun,1,-1,unknown,yes,married,secondary,no,5,1543,0
30,blue-collar,364,yes,yes,cellular,feb,1,-1,unknown,no,married,secondary,no,4,331,0
71,retired,0,no,no,cellular,feb,1,171,success,yes,divorced,secondary,no,26,771,1
44,admin.,0,no,no,cellular,jul,1,-1,unknown,no,married,secondary,no,31,209,0
30,blue-collar,6281,no,no,cellular,apr,2,-1,unknown,yes,single,unknown,no,21,149,0
30,technician,0,no,no,cellular,aug,2,-1,unknown,no,single,tertiary,no,22,34,0
55,housemaid,2152,no,no,unknown,jun,2,-1,unknown,yes,married,primary,no,19,922,0
42,technician,2611,yes,no,cellular,jun,1,389,failure,yes,divorced,tertiary,no,25,300,3
28,management,0,yes,no,cellular,jul,5,-1,unknown,yes,single,tertiary,no,16,767,0
46,management,699,no,no,cellular,apr,1,87,failure,yes,married,tertiary,no,30,970,1
28,self-employed,805,no,no,cellular,nov,5,170,failure,no,single,tertiary,no,12,116,2
43,blue-collar,625,yes,no,unknown,sep,1,-1,unknown,no,married,secondary,no,30,175,0
53,technician,100,no,no,cellular,aug,4,-1,unknown,no,married,secondary,no,13,205,0
51,management,119,no,no,cellular,nov,1,165,failure,no,divorced,tertiary,no,17,200,2
45,management,1199,no,no,telephone,feb,2,-1,unknown,no,married,tertiary,no,3,221,0
42,services,154,yes,no,telephone,may,5,372,other,no,married,secondary,no,14,346,1
27,technician,261,yes,no,cellular,jan,2,247,failure,no,single,secondary,no,29,236,2
52,technician,475,yes,no,cellular,jul,3,-1,unknown,no,married,secondary,no,28,121,0
49,services,486,yes,yes,unknown,may,2,-1,unknown,no,married,secondary,no,30,43,0
61,management,175,no,no,telephone,aug,2,-1,unknown,yes,married,tertiary,no,5,270,0
50,services,2376,yes,no,cellular,sep,1,-1,unknown,yes,married,secondary,no,24,395,0
73,retired,796,no,no,cellular,apr,1,182,success,yes,married,primary,no,23,888,3
56,entrepreneur,51439,no,yes,cellular,jul,1,-1,unknown,no,married,tertiary,no,8,325,0
38,technician,318,no,no,cellular,aug,1,182,success,yes,married,secondary,no,5,274,6
25,admin.,483,no,yes,cellular,feb,1,-1,unknown,yes,single,secondary,no,3,189,0
53,blue-collar,25,no,no,cellular,aug,2,-1,unknown,yes,married,secondary,no,22,528,0
58,retired,0,no,no,cellular,aug,1,-1,unknown,no,married,primary,no,4,506,0
36,blue-collar,1023,yes,no,cellular,feb,2,-1,unknown,no,married,unknown,no,4,184,0
47,student,107,no,no,telephone,jul,8,-1,unknown,no,single,unknown,no,15,119,0
43,retired,860,no,no,telephone,oct,1,-1,unknown,yes,married,secondary,no,30,132,0
30,admin.,-213,yes,yes,unknown,may,1,-1,unknown,yes,single,secondary,no,27,751,0
45,technician,2403,no,no,cellular,nov,1,-1,unknown,no,married,secondary,no,21,207,0
47,unemployed,312,no,no,cellular,jul,1,-1,unknown,yes,married,secondary,no,29,884,0
31,management,924,no,no,cellular,jun,2,98,success,yes,single,tertiary,no,5,207,1
59,management,2239,no,no,cellular,may,1,-1,unknown,yes,married,tertiary,no,22,431,0
37,management,0,no,no,cellular,jan,2,196,other,yes,married,tertiary,no,15,426,1
45,admin.,0,no,no,cellular,oct,1,-1,unknown,yes,divorced,secondary,no,29,264,0
43,blue-collar,184,no,yes,cellular,jul,11,-1,unknown,yes,married,secondary,no,16,1019,0
32,technician,1710,yes,no,cellular,may,1,175,other,no,single,tertiary,no,15,439,3
37,technician,189,no,no,cellular,jun,2,-1,unknown,yes,married,unknown,no,16,162,0
29,blue-collar,260,yes,no,unknown,jun,14,-1,unknown,yes,single,secondary,no,2,707,0
53,blue-collar,559,no,no,telephone,feb,5,-1,unknown,no,divorced,primary,no,9,16,0
38,admin.,46,no,no,cellular,aug,2,-1,unknown,no,married,secondary,no,7,48,0
39,entrepreneur,1,yes,yes,unknown,may,1,-1,unknown,no,married,tertiary,yes,29,102,0
31,management,3340,no,no,cellular,sep,2,469,success,yes,single,tertiary,no,15,213,3
28,technician,-1042,yes,no,unknown,jun,2,-1,unknown,yes,single,secondary,yes,6,712,0
36,technician,341,no,no,cellular,feb,2,183,success,yes,married,tertiary,no,12,419,1
39,blue-collar,1317,yes,no,cellular,nov,1,170,other,yes,divorced,primary,no,20,543,4
30,blue-collar,297,no,no,cellular,apr,4,-1,unknown,yes,single,tertiary,no,7,465,0
30,admin.,60,no,no,cellular,jan,2,-1,unknown,no,single,secondary,no,29,55,0
30,blue-collar,132,yes,no,unknown,may,1,-1,unknown,no,single,secondary,no,16,329,0
33,technician,4790,yes,no,cellular,apr,1,272,failure,no,married,secondary,no,20,137,2
32,management,20,no,no,cellular,aug,2,-1,unknown,yes,single,tertiary,no,14,1151,0
31,technician,120,no,no,cellular,aug,1,-1,unknown,yes,married,tertiary,no,8,1000,0
54,management,300,yes,no,cellular,nov,2,-1,unknown,yes,divorced,secondary,no,20,562,0
37,management,393,yes,no,cellular,aug,2,104,success,no,married,tertiary,no,12,62,2
76,retired,2223,no,no,telephone,feb,1,-1,unknown,yes,married,primary,no,4,429,0
59,management,1,yes,no,cellular,apr,1,-1,unknown,yes,married,tertiary,no,29,210,0
38,management,413,no,no,cellular,oct,2,183,success,yes,married,tertiary,no,13,252,3
41,management,0,no,no,cellular,sep,4,63,other,yes,married,tertiary,no,17,294,11
33,technician,177,yes,yes,cellular,may,8,-1,unknown,no,married,secondary,no,12,22,0
45,blue-collar,594,yes,no,unknown,may,2,-1,unknown,yes,divorced,primary,no,29,833,0
31,technician,200,no,no,cellular,aug,2,-1,unknown,no,single,secondary,no,6,315,0
27,admin.,0,yes,no,cellular,may,1,-1,unknown,yes,married,secondary,no,6,837,0
49,management,276,no,no,cellular,aug,5,-1,unknown,no,married,tertiary,no,27,62,0
43,management,1,yes,yes,unknown,jun,8,-1,unknown,no,divorced,tertiary,no,2,28,0
29,management,247,no,no,cellular,sep,2,587,failure,yes,married,tertiary,no,16,143,3
38,technician,0,no,no,cellular,aug,2,-1,unknown,no,single,secondary,no,22,305,0
38,technician,0,no,no,cellular,aug,2,-1,unknown,no,single,tertiary,no,28,247,0
34,blue-collar,2595,yes,yes,cellular,apr,1,336,other,no,married,secondary,no,17,126,2
33,management,2485,yes,no,cellular,nov,2,-1,unknown,no,single,tertiary,no,2,91,0
30,admin.,255,no,no,cellular,jan,1,-1,unknown,yes,single,secondary,no,27,143,0
33,management,455,yes,yes,unknown,may,10,-1,unknown,no,married,tertiary,no,29,122,0
38,management,6158,yes,no,cellular,apr,5,145,failure,yes,single,tertiary,no,15,139,9
43,management,388,yes,no,unknown,may,2,-1,unknown,yes,divorced,tertiary,no,8,2087,0
53,entrepreneur,288,no,no,unknown,may,1,-1,unknown,no,married,secondary,no,6,69,0
56,blue-collar,8,yes,no,unknown,may,2,-1,unknown,no,divorced,primary,no,5,157,0
27,blue-collar,377,no,no,cellular,feb,2,-1,unknown,yes,single,primary,no,19,645,0
28,self-employed,123,no,yes,telephone,oct,1,-1,unknown,yes,married,secondary,no,22,313,0
54,management,1303,no,no,cellular,feb,1,-1,unknown,yes,married,tertiary,no,3,1635,0
38,admin.,1988,no,no,cellular,mar,2,130,failure,yes,married,tertiary,no,27,164,2
35,management,2161,no,no,cellular,sep,3,-1,unknown,yes,married,tertiary,no,9,569,0
40,services,0,yes,no,cellular,jun,1,28,failure,no,married,secondary,no,2,297,3
33,blue-collar,5,yes,no,cellular,apr,2,-1,unknown,yes,married,primary,no,17,1007,0
39,technician,75,no,no,unknown,jun,1,-1,unknown,no,single,unknown,no,6,26,0
38,services,1222,yes,no,unknown,jun,2,-1,unknown,no,single,tertiary,no,5,237,0
69,retired,324,no,no,cellular,feb,4,-1,unknown,yes,married,primary,no,4,136,0
40,admin.,1412,no,no,cellular,jul,3,-1,unknown,no,married,secondary,no,31,48,0
37,management,3236,no,no,cellular,may,2,202,other,yes,married,tertiary,no,20,291,5
38,management,441,yes,no,cellular,jan,1,-1,unknown,no,divorced,tertiary,no,30,67,0
40,services,0,yes,yes,cellular,feb,2,-1,unknown,no,married,secondary,no,2,226,0
51,blue-collar,-92,yes,no,unknown,jun,4,-1,unknown,no,married,secondary,no,4,28,0
53,technician,2557,no,no,cellular,jul,4,182,success,no,married,tertiary,no,29,95,7
50,management,1396,no,no,cellular,aug,6,-1,unknown,yes,married,tertiary,no,25,731,0
35,blue-collar,503,yes,yes,unknown,may,2,-1,unknown,no,married,secondary,no,9,57,0
35,management,0,no,no,cellular,aug,5,-1,unknown,no,single,tertiary,no,18,276,0
35,blue-collar,667,yes,no,cellular,may,5,324,other,no,married,secondary,no,14,10,27
46,technician,1590,yes,no,cellular,jul,2,-1,unknown,no,married,secondary,no,15,59,0
39,admin.,19,yes,no,cellular,jul,2,147,success,yes,divorced,secondary,no,2,503,5
55,housemaid,976,no,no,cellular,jun,1,94,other,yes,divorced,primary,no,28,345,3
40,management,37,yes,no,unknown,may,1,-1,unknown,no,divorced,tertiary,no,16,412,0
28,self-employed,1579,no,no,cellular,jan,1,91,failure,yes,single,tertiary,no,13,163,3
59,admin.,1525,no,no,telephone,jul,2,-1,unknown,no,divorced,secondary,no,29,90,0
33,blue-collar,141,yes,no,unknown,may,2,-1,unknown,no,married,primary,no,21,578,0
30,entrepreneur,12737,no,yes,cellular,nov,2,-1,unknown,yes,married,secondary,no,19,589,0
20,student,0,no,no,cellular,feb,5,91,failure,no,single,primary,no,1,143,8
31,blue-collar,2591,yes,no,cellular,nov,1,-1,unknown,no,married,secondary,no,20,55,0
52,services,337,yes,no,unknown,may,3,-1,unknown,no,married,unknown,no,19,85,0
37,blue-collar,0,yes,no,cellular,apr,1,-1,unknown,no,married,secondary,no,2,473,0
72,self-employed,132,no,no,cellular,apr,1,-1,unknown,yes,married,tertiary,no,27,444,0
32,technician,473,no,yes,cellular,may,3,-1,unknown,yes,married,secondary,no,7,292,0
59,retired,1035,yes,yes,cellular,aug,1,-1,unknown,no,married,secondary,no,5,223,0
43,management,693,yes,no,unknown,may,3,-1,unknown,no,divorced,secondary,no,5,124,0
32,technician,599,no,no,cellular,nov,1,-1,unknown,no,married,secondary,no,19,79,0
49,housemaid,0,yes,no,cellular,jul,3,-1,unknown,no,married,primary,no,25,42,0
22,management,104,no,yes,cellular,apr,3,-1,unknown,yes,single,tertiary,no,16,330,0
49,services,280,yes,no,telephone,jul,3,-1,unknown,no,married,secondary,no,14,162,0
49,management,4374,yes,no,cellular,jul,3,-1,unknown,no,married,tertiary,no,31,68,0
53,management,720,yes,no,unknown,nov,1,-1,unknown,no,single,tertiary,no,17,99,0
26,blue-collar,592,yes,yes,unknown,may,1,-1,unknown,no,single,secondary,no,27,174,0
48,blue-collar,741,yes,no,cellular,apr,1,-1,unknown,no,married,secondary,no,16,227,0
33,blue-collar,-306,yes,yes,unknown,may,4,-1,unknown,no,married,primary,no,13,851,0
32,technician,1995,yes,no,cellular,apr,1,-1,unknown,yes,single,secondary,no,20,121,0
48,services,-139,no,no,cellular,may,2,-1,unknown,no,single,primary,no,13,75,0
29,student,5,no,no,cellular,jul,5,-1,unknown,yes,single,tertiary,no,15,889,0
33,management,0,yes,no,cellular,jul,1,-1,unknown,no,married,tertiary,no,9,310,0
32,blue-collar,3166,yes,no,cellular,nov,3,-1,unknown,no,married,secondary,no,20,418,0
37,admin.,912,yes,no,cellular,may,3,328,other,yes,single,primary,no,12,637,22
32,blue-collar,1504,yes,no,cellular,apr,2,-1,unknown,no,married,primary,no,17,131,0
53,management,0,yes,no,cellular,jul,3,-1,unknown,no,married,tertiary,no,14,85,0
56,admin.,1694,no,no,cellular,aug,10,-1,unknown,yes,married,secondary,no,21,793,0
55,blue-collar,0,no,no,unknown,jun,2,-1,unknown,yes,married,secondary,no,12,614,0
59,management,59,yes,no,unknown,may,1,-1,unknown,no,divorced,tertiary,no,5,273,0
30,management,265,yes,no,unknown,may,4,-1,unknown,no,married,tertiary,no,26,45,0
35,blue-collar,1792,yes,no,cellular,jul,6,-1,unknown,yes,divorced,primary,no,31,630,0
27,blue-collar,567,no,no,cellular,may,3,182,success,yes,single,tertiary,no,26,523,3
25,blue-collar,97,yes,no,unknown,may,1,-1,unknown,yes,married,secondary,no,27,709,0
42,admin.,-249,yes,no,cellular,jul,3,-1,unknown,no,divorced,secondary,no,14,149,0
34,unemployed,200,yes,no,unknown,may,6,-1,unknown,no,married,secondary,no,26,155,0
50,blue-collar,2590,yes,no,unknown,may,6,-1,unknown,no,married,primary,no,9,257,0
32,technician,1279,yes,no,unknown,jun,3,-1,unknown,yes,single,secondary,no,3,1173,0
28,self-employed,159,no,no,cellular,oct,2,420,other,yes,single,tertiary,no,14,246,2
29,blue-collar,-565,yes,no,unknown,jun,3,-1,unknown,no,married,secondary,no,18,164,0
43,management,107,yes,yes,telephone,oct,1,-1,unknown,yes,married,secondary,no,28,135,0
38,management,413,no,no,cellular,apr,1,179,failure,yes,married,tertiary,no,13,240,2
35,admin.,0,no,yes,cellular,jul,1,-1,unknown,no,single,secondary,no,7,480,0
36,self-employed,1240,no,no,cellular,jul,3,-1,unknown,yes,single,tertiary,no,31,812,0
27,blue-collar,419,yes,no,unknown,jun,2,-1,unknown,yes,married,secondary,no,4,1181,0
35,admin.,0,no,no,cellular,jul,6,-1,unknown,no,divorced,secondary,no,30,186,0
38,blue-collar,1686,yes,no,unknown,jun,28,-1,unknown,no,divorced,secondary,no,19,9,0
34,blue-collar,800,no,no,cellular,apr,1,-1,unknown,yes,married,secondary,no,5,144,0
55,management,12972,no,no,telephone,aug,1,-1,unknown,yes,married,tertiary,no,18,205,0
31,technician,969,no,no,cellular,jun,1,-1,unknown,no,single,tertiary,no,15,95,0
58,technician,786,yes,no,unknown,may,3,-1,unknown,no,married,secondary,no,7,165,0
